epoch       	ep_ret      	ep_bler      	ep_fair      	ep_tx       	newbytes    	final_wiating   	ep_rbg	ep_bler     
0	41.971112452192244	14.291419922669931	44.5138888888889	577758894.5556852	6865761032.909951	6420222529.225392	3205.0	0.0
1	41.94475830518224	13.988474950974958	44.486111111111114	576664713.1210465	6802582424.461486	6365579283.671957	3203.0	0.0
2	42.25122246444093	14.845020951270959	44.93055555555558	581990139.3074963	6916504166.3559675	6479896919.718987	3235.0	0.0
3	41.90548900683973	14.347946729196732	44.458333333333314	577622906.8305982	6937521383.889184	6501771188.642942	3201.0	0.0
4	42.43813678867317	14.990908859658866	44.875000000000014	583692282.9603829	7012575692.935442	6572770644.341564	3231.0	0.0
5	41.69275495517993	14.431155418655425	44.29166666666667	573905169.3789237	6919910618.500037	6484906230.834106	3189.0	0.0
6	41.59749068467326	14.414435101935112	44.138888888888886	572674424.3790617	6924765060.053811	6492739456.19067	3178.0	0.0
7	41.865756205444406	14.265708828208833	44.16666666666666	576166621.3237755	6776168929.815037	6338771970.290791	3180.0	0.0
8	41.27107517456526	14.173979723979729	43.83333333333334	568622674.917884	6903150348.171397	6477357480.109499	3156.0	0.0
9	42.0953211549347	14.727535890035897	44.583333333333314	578663648.8640097	6921252836.404758	6489450258.124924	3210.0	0.0
10	41.91931287618819	14.551783401783409	44.47222222222222	576149774.216829	6890158658.127638	6456475696.8501005	3202.0	0.0
11	41.26834927498629	14.343623737373742	43.736111111111114	567497995.2120109	6948202686.166666	6528820779.883717	3149.0	0.0
12	41.61717930791935	14.438890970140976	44.388888888888886	572425772.8752412	6849126787.197971	6413755102.651377	3196.0	0.0
13	41.8185093296508	14.749227855477862	44.45833333333333	574318640.5841893	6949896794.669459	6514785505.774757	3201.0	0.0
14	41.31962093870209	14.151876133126143	43.93055555555555	567856189.6291031	6824087144.141065	6396170355.232346	3163.0	0.0
15	40.552043574338825	13.65175657675658	43.15277777777777	557771386.6817727	6958655925.833311	6552188927.780787	3107.0	0.0
16	40.85646152375838	14.106464368964373	43.708333333333336	562297272.2564893	6877555882.7077	6448536534.918151	3147.0	0.0
17	40.972363146516486	14.552385346135349	44.04166666666666	563925403.6707433	6709803261.372105	6290591247.681284	3171.0	0.0
18	41.613866541466464	13.812677600177603	44.09722222222223	572111305.0640125	7014378210.050791	6591780899.112656	3175.0	0.0
19	41.32968499132503	13.93606162356163	43.98611111111112	567571997.9657338	6727288445.996434	6298103680.813624	3167.0	0.0
20	41.47028656556733	14.45446174196175	44.236111111111114	570046629.8005131	6873509706.493738	6455246634.548843	3185.0	0.0
21	41.57034409521374	14.731971038221044	44.18055555555555	571168153.5893939	6846402700.734349	6417084257.2241	3181.0	0.0
22	41.40940156148555	14.450514300514303	44.027777777777764	569438185.2581414	6822788036.779702	6402892165.244114	3170.0	0.0
23	41.58214820843747	14.62252446627447	44.138888888888886	572171084.5726764	6824397901.605127	6404119653.404409	3178.0	0.0
24	41.35788460981583	14.434068015318022	43.972222222222214	568979342.9854194	6847301932.58142	6427482144.7971325	3166.0	0.0
25	41.16609522676109	14.345776908276912	43.76388888888887	567386262.5305665	6970989651.775455	6547896184.476125	3151.0	0.0
26	41.327706942111874	14.171669071669077	44.05555555555555	567725307.2428834	6923093203.710522	6496884384.111882	3172.0	0.0
27	39.81376751187873	13.703633172383173	42.36111111111112	547824912.2631992	6864138320.257243	6451873898.884586	3050.0	0.0
28	40.47386455624931	13.990693334443339	42.72222222222221	557277925.8345121	6784517767.781515	6372792186.129463	3076.0	0.0
29	40.58172868444419	14.204210835460843	43.05555555555558	558620657.1627842	6771858926.458944	6363216987.744506	3100.0	0.0
30	39.46924974294481	13.053032615532612	41.833333333333336	545883771.5543	6871165036.128085	6469751853.933622	3012.0	0.0
31	40.435589021473795	14.20726796351797	42.97222222222223	556559476.6484128	6793720638.161257	6370193692.502688	3094.0	0.0
32	41.07216992046919	14.28619667369668	43.36111111111111	564897163.4679099	6898346505.9278145	6477839643.832851	3122.0	0.0
33	41.49314696771671	14.704203666703677	44.05555555555556	569852744.0610098	6924247310.002077	6500373909.584171	3172.0	0.0
34	41.01821845072002	14.400516381766387	43.499999999999986	564451243.5595154	6869071620.326634	6440378763.64259	3132.0	0.0
35	40.9401937955112	14.473244810744815	43.680555555555536	564372874.3938524	6835831040.823103	6412075456.143292	3145.0	0.0
36	40.85245578470605	14.484674584674593	43.611111111111114	562219756.01979	7019992157.760083	6603928777.538997	3140.0	0.0
37	39.97559715364336	13.49829406704407	42.3888888888889	550044082.3691509	6916941027.4256735	6512994111.400656	3052.0	0.0
38	39.857086947577486	13.949545130795135	42.40277777777778	548492592.4302877	6829304083.38145	6427352865.806157	3053.0	0.0
39	38.70849836274067	13.395554908054912	40.97222222222222	534169714.72548586	6907507641.0566845	6521449566.827284	2950.0	0.0
