epoch       	ep_ret      	ep_bler      	ep_fair      	ep_tx       	newbytes    	final_wiating   	ep_rbg	ep_bler     
0	42.52326507431985	57.53470071595074	178.37499999999994	872368372.2360955	6872397626.170202	6214427375.986097	8026.5	0.0
1	42.50108698448326	58.50425037925043	177.98611111111106	871437509.8946517	6908341730.046768	6071324924.326363	8033.0	0.0
2	42.6300766485829	58.49089775964782	178.81944444444434	873905615.046708	6901896212.27791	6196858870.122625	8043.0	0.0
3	42.33942511384725	57.8406845469346	178.02777777777766	868158398.4041858	6902368522.817546	6262916780.626859	8032.5	0.0
4	42.17171180966251	57.72364186739189	177.79166666666657	864998238.1024225	6836016136.086025	5987804739.835432	7990.0	0.0
5	42.669695896472874	59.10897690272694	179.58333333333317	874695783.9097917	6845906334.05215	6113757253.837057	8084.0	0.0
6	42.2474419137974	58.101600714100755	177.7499999999999	866198903.270993	6910855922.972794	6193992758.473023	8026.25	0.0
7	41.373201400996905	55.89338485588489	174.04166666666654	849854529.4984448	6811716228.503877	6091507278.844863	7853.5	0.0
8	42.48670378265925	58.75824129574133	178.37499999999994	871222063.041221	6890241003.331281	6093455465.830572	8016.75	0.0
9	41.791161989754364	56.416289960040004	175.45833333333334	856717918.650104	6928270562.045173	6225226202.659179	7925.75	0.0
10	41.72241691778808	56.03659049284053	174.7222222222221	855543133.3973925	6853106649.667885	6093470964.851688	7861.25	0.0
11	41.899499111613764	57.500892857142894	176.54166666666663	859975545.1560093	6817401089.479675	6142882448.725816	7963.25	0.0
12	41.71303669564692	56.803447015947064	175.2083333333332	856153713.2772381	6879185336.851377	6057520844.142252	7844.0	0.0
13	41.520106966870735	56.37645178895182	174.80555555555543	852027305.0075264	6914043479.983084	6125877906.931889	7846.25	0.0
14	41.39227173568956	56.132304732304796	173.47222222222217	850016801.1343145	6875680391.504942	6188454454.565718	7833.5	0.0
15	41.73656805949816	57.041792698042734	175.05555555555554	856774789.119139	6884427605.371778	6185167385.863356	7904.0	0.0
16	42.02236690903958	58.738109806859875	176.68055555555537	862377601.8099546	6860293910.511936	6104801441.137465	7973.25	0.0
17	41.40650242792699	56.81096241721243	174.01515151515144	849760162.2185451	6837565442.668949	6086524078.156822	7797.25	0.0
18	41.28556759898099	55.93691424316431	173.34722222222217	847782508.8451008	6889332498.995835	6197471329.0145855	7766.75	0.0
19	41.640364587359194	56.701654595404634	174.51388888888889	854794534.3502115	6935923686.465776	6311282319.105281	7873.5	0.0
20	41.63942706353441	56.68964461464467	174.79166666666677	855803139.1651386	6882752837.396249	6165274322.338758	7882.5	0.0
21	41.62937461008168	57.87180389055391	174.9166666666666	854744765.4292859	6936335551.01593	6122485218.303089	7873.5	0.0
22	41.976747107465414	57.31992937617938	176.30555555555546	861726939.2576511	6889471763.923368	6113141393.5978775	7955.75	0.0
23	41.64019730484869	56.67252539127545	174.9027777777778	855090719.3244317	6872885180.005514	6055504137.849754	7874.5	0.0
24	41.82565506960559	57.20164719539722	175.90277777777783	859845448.4669962	6798569020.417072	5985866397.155025	7964.5	0.0
25	42.27598350310525	57.166116753616784	177.83333333333326	867712753.1234356	6981888365.707211	6360251016.926598	7989.25	0.0
26	42.18096423458102	57.26947589447595	176.97222222222211	865829817.816328	6881327247.029238	6201208488.737679	7971.0	0.0
27	42.14443288376368	58.255711186961264	176.47222222222217	866082600.8303553	6950538387.265576	6306129467.701984	7960.0	0.0
28	41.781529406549936	57.58928224553225	175.54166666666663	858817298.9809587	6950698433.149849	6241392557.710094	7830.75	0.0
29	41.67807079647156	56.822843822843886	175.2361111111111	856670214.8910064	6871907755.614945	6129336818.8279705	7897.75	0.0
30	41.884674945389534	56.47522431272436	175.72222222222214	861102146.1922464	6923614875.527372	6247761601.673651	7858.5	0.0
31	42.205483519632985	56.406096218596275	177.5972222222222	867308505.9666578	6820705533.006241	5959602118.489682	8004.75	0.0
32	42.40194533748465	56.813395863395904	177.4444444444444	872726567.0591955	6934323713.487921	6164214502.386879	7982.75	0.0
33	42.66644128235805	57.9331286768787	179.4861111111109	876899208.1466737	6879844475.450457	6050027483.456353	8056.75	0.0
34	42.8559672178322	59.110573223073295	180.58333333333317	880077330.9435099	6871294120.100649	6045125359.631845	8154.75	0.0
35	42.33874295575168	56.72524882524888	178.29166666666643	870884438.7268698	6910946554.107968	6187190732.348797	8022.5	0.0
